Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2016-01-21,18542.150390625,19238.26953125,18534.30078125,19079.130859375,2608400000
2016-01-22,19080.509765625,19152.80078125,18769.609375,19000.7890625,2388400000
2016-01-25,19340.140625,19490.26953125,19291.91015625,19341.41015625,1776800000
2016-01-26,18860.80078125,19098.0703125,18811.830078125,19068.83984375,1873200000
2016-01-27,19052.44921875,19216.990234375,18931.33984375,19211.859375,1929900000
2016-01-28,19195.830078125,19223.58984375,18982.220703125,19093.76953125,1941800000
2016-01-29,19683.109375,19709.990234375,19130.58984375,19138.419921875,2350200000
2016-02-01,19595.5,19770.9609375,19444.259765625,19770.9609375,1596500000
2016-02-02,19446.83984375,19628.5703125,19403.490234375,19474.869140625,1783500000
2016-02-03,18991.58984375,19032.7109375,18764.8203125,18910.880859375,2126500000
2016-02-04,19183.08984375,19338.369140625,19166.1796875,19190.359375,1557000000
2016-02-05,19288.169921875,19397.880859375,19230.0,19287.359375,1264800000
2016-02-11,18545.80078125,18627.509765625,18446.560546875,18486.9296875,1868400000
2016-02-12,18319.580078125,18482.330078125,18278.80078125,18278.80078125,2019800000
2016-02-15,18918.140625,18937.060546875,18668.869140625,18668.869140625,1729300000
2016-02-16,19122.080078125,19260.669921875,18974.599609375,19013.740234375,1869200000
2016-02-17,18924.5703125,19308.5390625,18909.060546875,19198.1796875,1689500000
2016-02-18,19363.080078125,19436.390625,19266.220703125,19409.2109375,1843900000
2016-02-19,19285.5,19342.029296875,19210.650390625,19238.4296875,1268700000
2016-02-22,19464.08984375,19524.970703125,19374.240234375,19374.240234375,1207500000
2016-02-23,19414.779296875,19519.849609375,19328.259765625,19506.939453125,1225000000
2016-02-24,19192.44921875,19360.80078125,19060.16015625,19282.33984375,1302700000
2016-02-25,18888.75,19215.490234375,18867.69921875,19215.490234375,1395900000
2016-02-26,19364.150390625,19436.7109375,19122.560546875,19179.94921875,1633500000
2016-02-29,19111.9296875,19377.720703125,19053.779296875,19366.169921875,1270400000
2016-03-01,19407.4609375,19420.0,19108.30078125,19259.990234375,1473900000
2016-03-02,20003.490234375,20058.119140625,19783.919921875,19788.169921875,2455800000
2016-03-03,19941.759765625,20082.009765625,19791.599609375,20082.009765625,1761700000
2016-03-04,20176.69921875,20200.380859375,19977.4296875,20052.099609375,1907800000
2016-03-07,20159.720703125,20331.689453125,20095.630859375,20306.08984375,1930200000
2016-03-08,20011.580078125,20137.73046875,19902.75,20132.099609375,1449300000
2016-03-09,19996.259765625,20005.41015625,19818.419921875,19898.740234375,1202800000
2016-03-10,19984.419921875,20184.23046875,19923.5390625,20055.419921875,1384600000
2016-03-11,20199.599609375,20238.720703125,19853.630859375,19900.669921875,1970700000
2016-03-14,20435.33984375,20512.029296875,20328.880859375,20371.58984375,1722900000
2016-03-15,20288.76953125,20366.560546875,20254.58984375,20298.150390625,1193100000
2016-03-16,20257.69921875,20383.19921875,20168.740234375,20339.900390625,1213700000
2016-03-17,20503.810546875,20619.33984375,20435.650390625,20580.060546875,1696000000
2016-03-18,20671.630859375,20687.970703125,20514.970703125,20599.189453125,2091600000
2016-03-21,20684.150390625,20772.4609375,20618.560546875,20738.25,1520100000
2016-03-22,20666.75,20765.0703125,20576.80078125,20765.0703125,1303400000
2016-03-23,20615.23046875,20693.48046875,20513.609375,20629.400390625,1185400000
2016-03-24,20345.609375,20499.400390625,20268.529296875,20450.689453125,1460900000
2016-03-29,20366.30078125,20386.3203125,20250.150390625,20386.3203125,1303900000
2016-03-30,20803.390625,20820.73046875,20541.0703125,20545.439453125,2058700000
2016-03-31,20776.69921875,20872.55078125,20689.220703125,20811.4609375,1781000000
2016-04-01,20498.919921875,20786.1796875,20455.41015625,20786.1796875,1633600000
2016-04-05,20177.0,20311.859375,20116.869140625,20311.859375,1876700000
2016-04-06,20206.669921875,20249.83984375,20100.0,20100.0,1338300000
2016-04-07,20266.05078125,20370.51953125,20165.759765625,20297.8203125,1493900000
2016-04-08,20370.400390625,20370.439453125,20045.470703125,20061.599609375,1435600000
2016-04-11,20440.810546875,20550.94921875,20240.689453125,20255.83984375,1234200000
2016-04-12,20504.439453125,20546.4296875,20407.8203125,20440.720703125,997100000
2016-04-13,21158.7109375,21171.2890625,20716.91015625,20739.33984375,2500300000
2016-04-14,21337.810546875,21511.080078125,21266.2109375,21456.609375,2054300000
2016-04-15,21316.470703125,21423.060546875,21234.119140625,21374.650390625,1413600000
2016-04-18,21161.5,21172.0,21002.76953125,21129.6796875,1426800000
2016-04-19,21436.2109375,21459.0390625,21259.169921875,21438.130859375,1462100000
2016-04-20,21236.310546875,21452.8203125,21103.33984375,21452.8203125,1716700000
2016-04-21,21622.25,21634.740234375,21331.58984375,21406.400390625,1709100000
2016-04-22,21467.0390625,21495.7890625,21358.529296875,21448.150390625,1282700000
2016-04-25,21304.439453125,21430.5703125,21254.4609375,21408.560546875,1200000000
2016-04-26,21407.26953125,21419.919921875,21080.880859375,21380.01953125,1346800000
2016-04-27,21361.599609375,21442.509765625,21277.0390625,21372.330078125,1247200000
2016-04-28,21388.029296875,21654.0703125,21255.419921875,21488.9609375,1684200000
2016-04-29,21067.05078125,21235.390625,21023.76953125,21215.19921875,1603100000
2016-05-03,20676.939453125,21061.76953125,20668.369140625,21061.76953125,1707700000
2016-05-04,20525.830078125,20580.380859375,20411.41015625,20556.5,1555900000
2016-05-05,20449.8203125,20534.759765625,20342.75,20363.859375,1355000000
2016-05-06,20109.869140625,20377.939453125,20058.76953125,20357.44921875,1725800000
2016-05-09,20156.810546875,20303.189453125,20125.779296875,20279.900390625,1323300000
2016-05-10,20242.6796875,20294.4609375,19962.4296875,19962.4296875,1446900000
2016-05-11,20055.2890625,20347.759765625,20008.919921875,20347.759765625,1337900000
2016-05-12,19915.4609375,20100.5,19863.619140625,20100.5,1150400000
2016-05-13,19719.2890625,19881.91015625,19594.609375,19843.490234375,1758500000
2016-05-16,19883.94921875,19998.759765625,19705.91015625,19711.76953125,1486100000
2016-05-17,20118.80078125,20145.76953125,19847.69921875,19987.240234375,1568700000
2016-05-18,19826.41015625,19923.830078125,19749.2890625,19862.419921875,1351600000
2016-05-19,19694.330078125,19793.4609375,19646.349609375,19729.630859375,1148100000
2016-05-20,19852.19921875,19954.330078125,19631.7109375,19631.7109375,1247700000
2016-05-23,19809.029296875,19955.029296875,19750.619140625,19788.130859375,1086600000
